employee_id,first_name,last_name,department,email,phone,status,salary,joining_date,termination_date,address
1001,Lydia,Brown,Marketing,user_no_domain,771.474.7018,Terminated,6409,2022-07-14,2025-10-10,"5771 Diana Unions
North Richard, IL 45379"
1002,Kathryn,Barnett,Sales,coxraymond@example.org,662-956-4604x14592,Active,3705,2022-12-13,,"1728 James Loaf
Davidchester, GA 78043"
1003,Michael,Silva,Finance,haydenalex@example.com,(394)387-1194x172,Terminated,4025,2025-04-24,2021-11-26,"868 Alyssa Hollow
Rachelhaven, AZ 95339"
1004,Emily,Eaton,HR,vclark@example.net,458-293-6436,Active,5858,2024-02-26,,"7232 Jackson Neck Apt. 673
Palmermouth, NY 56046"
1005,Dennis,Thomas,Engineering,ggardner@example.com,274.441.6444,Terminated,5774,2021-06-08,2023-01-19,"614 Cole Fords
Christopherport, HI 09695"
1006,Rachel,Robinson,Ops,reynoldscheryl@example.com,864-337-8003x65292,Terminated,8348,2023-10-21,2022-08-27,"4858 Zhang Inlet Suite 453
Cynthiamouth, MA 79546"
1007,Marisa,Burgess,Sales,eric44@example.net,(279)310-4696x467,Terminated,7921,2022-01-03,2023-09-15,"637 Dean Brook
Landryside, MD 09138"
1008,Angie,Brown,Sales,guerreroashley@example.com,(274)832-4272,Terminated,$7516,2025-07-07,2021-08-26,"718 Osborne Inlet Suite 504
Dennisfurt, MH 33641"
1009,Christopher,Thomas,Marketing,user_no_domain,(909)246-9192x546,Active,4500,2021-09-27,,"Unit 2994 Box 1506
DPO AE 21262"
1010,Mary,George,Legal,rebecca47@example.com,(903)540-9177x669,Terminated,6179,2024-01-14,2021-12-02,"6707 Judith Extensions Suite 518
New Briantown, WI 11860"
1011,Dennis,Lopez,Sales,powellkristy@example.com,+1-277-766-4858x8890,Terminated,9750,2023-10-12,2022-06-04,"USCGC Drake
FPO AA 22987"
1012,Phillip,Byrd,Engineering,angelawright@example.com,001-519-267-0554x661,Active,$9935,2024-04-10,,"256 Rebecca Street
Stephanieside, VT 62867"
1013,Gregory,Kelly,Finance,frankjasmine@example.org,3258064716,Terminated,4058,2024-06-22,2023-08-13,"603 Underwood Avenue Apt. 891
North Sherrybury, DE 99511"
1014,Michael,Johns,Legal,taylor61@example.org,001-444-600-0900x7381,Terminated,5404,2025-11-22,2024-01-26,"388 Amanda Via
Casestad, TN 74109"
1015,Steve,Stewart,Sales,brianna18@example.org,406.885.1128,Terminated,6874,2022-12-12,2022-05-09,"64771 Raymond Cliff
South Abigail, PA 19833"
1016,Jeffrey,Brewer,Sales,donald22@example.com,638.512.3863x55431,Active,8626,2021-09-23,,"Unit 1205 Box 0652
DPO AA 24286"
1017,Michelle,Sanchez,Finance,tylergross@example.com,546.659.1203,Terminated,3424,2021-02-07,2024-10-14,"474 Emma Lane
Lake Crystalhaven, IA 66338"
1018,Andrew,Greene,Sales,lauren46@example.net,663-218-9728x3621,Active,$9387,2023-09-07,,"7216 Rachael Spring
Lake Stephaniemouth, IN 70007"
1019,Nathan,Soto,Ops,garzaeric@example.net,4216607029,Terminated,9050,2023-09-05,2025-10-25,"4168 Monica Loaf
Horneburgh, OH 31125"
1020,Marcus,Johnson,Ops,codysmith@example.net,964-803-3682,Terminated,4904,2024-07-07,2021-12-10,"601 Patricia Mews Apt. 387
Olsonfort, ND 42248"
1021,Robert,Bailey,Legal,mhutchinson@example.org,946.292.8009x7479,Terminated,8685,2024-02-18,2022-11-13,"05532 Sara River Apt. 743
Alexton, KY 43968"
1022,Stacy,Hunter,Marketing,jenniferclark@example.org,9989210491,Terminated,10143,2024-06-19,2022-12-05,"62072 Knight Path Apt. 109
East Alexismouth, TX 02081"
1023,Robert,Ramirez,Engineering,jason91@example.com,(750)960-1436x915,Active,5002,2021-10-14,,"45154 Hernandez Wall
West Robertview, MH 09019"
1024,Daniel,Dixon,Legal,tylersmith@example.net,(760)844-6854,Active,8203,2021-04-15,,"4054 David Mission Suite 915
East Ricardo, ND 47772"
1025,Debbie,Rich,HR,alexandersmall@example.org,(690)256-2344x1296,Terminated,8563,2022-01-17,2021-10-07,"PSC 5390, Box 9320
APO AA 76310"
1026,Debra,Juarez,Finance,pamelasmith@example.com,001-962-908-8234x36029,Terminated,6303,2023-01-16,2024-11-19,"82909 Freeman Fords
Port Erica, MI 54221"
1027,Jessica,Booth,Marketing,autumnmitchell@example.org,+1-553-551-6248x74190,Terminated,6142,2023-12-28,2025-08-25,"660 Rivera Views
East Matthewburgh, NH 12888"
1028,Andrea,Wilson,Sales,user_no_domain,(621)464-3950x63999,Terminated,8621,2021-06-01,2022-07-22,"858 Smith Well
Lake Laura, MP 70772"
1029,Elizabeth,Garcia,HR,james10@example.org,+1-302-598-0096,Terminated,7142,2025-10-17,2024-07-26,"Unit 6641 Box 2098
DPO AA 08978"
1030,Stephanie,Rojas,HR,zschmidt@example.org,(607)262-1978x273,Terminated,6870,2025-08-29,2022-01-17,"1806 Lambert Alley Suite 957
West Leahmouth, WA 25247"
1031,Rebecca,Walters,HR,joseph02@example.net,001-422-297-9353x12608,Terminated,3840,2022-07-31,2023-02-02,"4272 Schroeder Points Apt. 384
Lake Jeanburgh, DC 36732"
1032,Jeffrey,Flowers,Marketing,olivermiranda@example.org,(818)735-3710,Active,6048,2021-04-11,,"0949 Green Park Apt. 811
Kurtport, AS 30487"
1033,Nicholas,Hinton,Ops,blakelambert@example.org,568-605-0671x09527,Active,5300,2024-07-08,,"47525 Brian Creek Apt. 753
Haydenton, MS 15136"
1034,Michael,Porter,Finance,ygates@example.org,001-230-519-5731x611,Terminated,7620,2025-07-21,2024-06-04,"73825 Morris Village
East Charles, MH 85171"
1035,Leonard,Mata,Marketing,user_no_domain,502.336.7833,Terminated,3757,2022-09-07,2024-12-02,"8546 Romero Village
Burtonberg, NJ 69455"
1036,Gregory,Bond,Sales,michael53@example.net,347.584.0450x2465,Active,6530,2024-08-19,,"16596 Kelly Overpass
Bakertown, UT 34749"
1037,Hannah,Rodgers,Legal,taylor08@example.net,001-285-783-3633,Terminated,9121,2022-08-10,2022-03-18,"518 Robertson Row
South Ashleyport, PA 71293"
1038,Christopher,Owens,Engineering,laura96@example.net,306.516.4844,Active,6404,2025-06-19,,"83454 Evan Square Suite 070
Port Joelmouth, DE 08199"
1039,Tara,Taylor,Legal,maldonadomary@example.net,(240)503-8735,Terminated,$5669,2022-02-07,2023-09-22,"45832 Howard Trail
South Briannashire, MH 68754"
1040,Jeffery,Alexander,Finance,user_no_domain,374-361-1321,Active,6671,2022-03-22,,"458 Day Rapid Suite 043
West Colintown, VT 88121"
1041,Jeffrey,Smith,Legal,laurie57@example.org,(952)494-0765x193,Active,6651,2021-06-02,,"59780 Ricardo Club Apt. 781
East John, AL 20228"
1042,Logan,Day,Ops,samuelwhite@example.com,+1-307-866-0838x92382,Active,6337,2024-06-12,,"2809 Moore Manor Apt. 875
South Shannon, RI 79148"
1043,Rita,Mcdonald,Marketing,user_no_domain,504.711.7577,Active,7070,2021-06-27,,"55573 Hooper Throughway
Port James, WI 68890"
1044,Alexander,Deleon,Sales,keith62@example.com,774-248-0990x46814,Terminated,5351,2023-10-23,2023-10-17,"19985 Dennis Forks
Bergstad, DC 99924"
1045,Joseph,Haas,Sales,nnorton@example.net,001-226-284-4679x5103,Active,5415,2022-06-10,,"77628 Jasmin Summit
Port Thomas, HI 41417"
1046,Lisa,Rodriguez,Finance,nicholsmegan@example.com,576.231.2609x0778,Active,8119,2021-04-18,,"0398 Melissa Fords
Johnfort, DE 74491"
1047,Jeffery,Sullivan,Ops,taylorkevin@example.net,3213122787,Terminated,9150,2025-01-11,2025-09-05,"13205 Ryan Cove Apt. 253
Port Kevintown, MN 42860"
1048,Robert,Huynh,Engineering,angela15@example.com,001-650-603-5278x622,Active,8759,2021-01-24,,"USNS Vasquez
FPO AA 03635"
1049,Stephen,Kelly,Finance,amanda30@example.com,+1-709-925-4238,Terminated,6540,2026-01-08,2021-04-10,"37152 Marquez Manor
Juliaside, MH 86422"
1050,Dominique,Garza,Sales,bcastillo@example.com,334.866.3266x9952,Active,3731,2025-09-26,,"7328 Thompson Greens Apt. 504
Irwintown, CO 30284"
1051,Andrew,Johnson,Marketing,crobinson@example.com,270-243-9558x743,Active,8940,2022-04-02,,"167 Samantha Crossing Apt. 804
Balltown, NM 45267"
1052,Danielle,Mitchell,Engineering,tperez@example.com,001-575-509-6607x14106,Active,7928,2022-02-23,,"4054 Thompson Pines Suite 002
Port Laura, KY 28691"
1053,Bob,Smith,Legal,frederickbrittany@example.net,+1-521-610-4883,Terminated,$4723,2023-08-10,2023-08-23,"845 Wanda Island Apt. 375
Jameston, FL 14312"
1054,Lisa,Joseph,HR,kylegonzalez@example.net,001-276-560-6781x2462,Active,$5549,2022-11-17,,"USS Jensen
FPO AA 22147"
1055,Zachary,Leblanc,Finance,shawngreene@example.net,9516186454,Terminated,9955,2025-04-24,2021-08-03,"690 Lauren Cove Apt. 192
East Danielle, VA 47315"
1056,Amanda,Oconnor,Engineering,bnielsen@example.net,(224)555-5437x14316,Active,4784,2021-12-29,,"8823 Freeman Expressway
Jacksonmouth, WI 72926"
1057,Justin,Campos,Engineering,user_no_domain,001-793-771-5383x8189,Terminated,5863,2022-01-19,2022-05-22,"006 Robert Point Suite 400
Davidland, VI 62342"
1058,Taylor,Campbell,Engineering,morrisnathan@example.net,001-512-591-9346x525,Terminated,6702,2024-11-26,2023-06-07,"827 Gibson Causeway Apt. 353
West Kaylee, FM 71962"
1059,Jennifer,Carter,Legal,thorntonamanda@example.org,398.404.4401x0348,Active,8663,2024-06-06,,"70435 Patricia Land
Matthewside, AZ 08992"
1060,Dominique,Rodriguez,Engineering,zachary07@example.net,444-821-6911x837,Terminated,7208,2023-01-02,2024-09-05,"1618 Amanda Park
South Catherine, CA 03019"
1061,Michael,Rosales,Finance,andersonrichard@example.net,001-609-343-7724x241,Terminated,8224,2021-09-10,2021-02-28,"447 William Inlet
South Charles, RI 46877"
1062,Cynthia,Caldwell,HR,daltongarcia@example.org,281-942-9363x14554,Terminated,9478,2024-07-16,2024-09-29,"1350 John Path
South Sydney, PW 29913"
1063,Kimberly,Hayden,Ops,kathryn92@example.org,(216)688-9966x493,Active,4121,2024-10-11,,"894 Jonathan Coves
Alexandershire, MO 70685"
1064,Michelle,Flores,Legal,robyn91@example.org,(396)419-5460x235,Active,4924,2024-11-18,,"5777 Kelly Lake Apt. 708
North Frank, GA 27487"
1065,Lee,Kim,Engineering,user_no_domain,868.821.8324x908,Active,7098,2021-06-19,,"25736 Denise Course Apt. 401
South Ana, KY 83698"
1066,William,Chapman,Sales,cameron56@example.com,(273)252-9240,Active,8733,2025-12-18,,"316 Jessica Point
New Michellehaven, TN 39208"
1067,Kimberly,Riley,Ops,roberthayes@example.org,421-443-9037x40000,Terminated,8631,2023-11-26,2022-07-22,"Unit 8206 Box 8210
DPO AP 88178"
1068,Mark,Nelson,HR,bradgilbert@example.com,+1-636-350-3060x5539,Active,4171,2024-04-28,,"344 Herrera Place
South Renee, MO 25268"
1069,Claudia,Gonzalez,Legal,gabriellamb@example.com,3112600682,Terminated,7235,2022-08-27,2021-08-11,"501 Joseph Corners Apt. 827
South Angelaborough, MI 72889"
1070,Gregory,Morrow,Finance,phyllis75@example.com,+1-736-859-1244x46528,Active,6181,2021-04-12,,"93685 James Trail
Olsenstad, AR 97666"
1071,Joyce,Shepard,Ops,katherinegutierrez@example.org,001-681-911-8497x9055,Active,5575,2024-02-13,,"579 Susan Mountains
Blairport, VT 35508"
1072,Julie,Rice,Marketing,amanda49@example.com,574.456.5415,Active,9729,2023-03-29,,"23444 John Expressway Suite 920
Douglasport, MN 81947"
1073,Heidi,Stuart,HR,smartin@example.net,001-211-391-0389x628,Terminated,6421,2021-11-15,2023-05-09,"998 Frazier Corner
Lake Lisamouth, KS 36779"
1074,James,Atkinson,Legal,lisashields@example.com,609.407.4756,Active,8220,2025-05-13,,"Unit 6638 Box 0111
DPO AP 33499"
1075,Joseph,Johnson,Marketing,castrodaniel@example.org,851-506-4482x927,Active,$7329,2023-06-24,,"24094 Estrada Row Apt. 129
Andrewsview, MI 70769"
1076,Roger,Reynolds,Legal,user_no_domain,422.905.6672,Active,4315,2021-05-23,,"011 Garcia Villages
North Kayla, VA 74766"
1077,Ryan,Hardy,Finance,james66@example.com,624.663.1628x65135,Terminated,4571,2023-09-30,2023-08-26,"80635 Joseph Ridges Suite 795
Pagefort, FL 66348"
1078,Melanie,Diaz,Sales,samanthawilson@example.com,672-737-7339x055,Active,7593,2024-11-12,,"331 Kimberly Bypass Apt. 033
Smithburgh, MH 44119"
1079,Dawn,Flowers,HR,stephaniekeith@example.org,(444)402-5837x44133,Active,9315,2021-07-27,,"Unit 7247 Box 7407
DPO AP 65364"
1080,Kimberly,Moody,Legal,annettewilliamson@example.org,001-671-262-4863x3588,Active,$7866,2025-12-22,,"68215 Salinas Lake Suite 023
Bridgettown, NM 46176"
1081,Jessica,Hobbs,Engineering,jeffrey09@example.com,+1-398-619-0123x112,Active,5793,2025-09-30,,"947 Lozano Mall
West Christopherfurt, IA 45145"
1082,Kimberly,Welch,Marketing,brookehobbs@example.org,001-609-832-5114,Active,5148,2022-02-20,,"Unit 1996 Box 8721
DPO AP 18727"
1083,Amber,Bradley,Marketing,galexander@example.com,627-671-6787x744,Active,5674,2025-04-13,,"7247 Russell Skyway
Port Thomas, OH 69282"
1084,Amanda,Soto,Marketing,randyyoung@example.com,(450)832-4637x1773,Active,6404,2024-04-30,,"44882 Kelly Circles
Port Charles, IL 82692"
1085,Vanessa,Brooks,Sales,tonya32@example.net,(944)977-8260,Terminated,5516,2024-08-02,2023-11-23,"315 Jasmine Overpass Suite 312
Saundershaven, VI 48855"
1086,Sean,Schneider,Marketing,nguyenteresa@example.org,+1-259-237-1528x3116,Active,6380,2023-10-17,,"818 Shah Gardens Apt. 070
North Jonathan, UT 97914"
